Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP,Pos_1_is_D,Pos_2_is_D,Pos_3_is_D,Pos_4_is_D,Pos_5_is_D,Pos_6_is_D,Pos_1_is_NSub,Pos_2_is_NSub,Pos_3_is_NSub,Pos_4_is_NSub,Pos_5_is_NSub,Pos_6_is_NSub,y_pred
0.6686085571693509,0.6647915415313375,0.4159416341519952,-0.2564400000000001,0.8478740641489869,-1.2810885564670278,1,0,1,0,1,0,0,1,1,1,0,0,-5.128209999999989
1.5188322975611128,0.6446555595980161,-0.08863619536545816,1.328791000000002,0.6444502193489592,-0.9658509141515798,1,0,1,0,1,0,1,1,1,1,0,0,-5.19410361904762
0.9083072487328847,1.2934,-0.5817999999999999,0.5685652330488195,0.5413502202748072,-1.3015162111572718,1,0,1,0,1,0,1,0,0,1,0,1,-5.083053333333335
-0.009849881993279515,1.1930872070137697,0.23536319140589237,1.1588413015162964,0.6265438258783849,-1.0634907272315068,1,0,1,0,1,0,1,1,1,1,1,1,-5.02370666666666
0.5412301061179629,1.2934,0.14998520656497727,-0.2564400000000001,0.6986538263405199,-0.35118039780561583,1,0,1,0,1,0,0,1,1,1,1,0,-5.118729999999989
0.21656870033406686,0.6368748721267826,-0.22235780800416852,0.6329837718265154,0.7544191380677056,-1.8361612192191332,1,0,1,0,1,0,0,1,1,1,0,0,-5.162791333333328
0.5766098143963164,0.5437329542451868,-0.14176025162951736,0.9971641786813233,0.8046806917981513,-0.7786292846520996,1,0,1,0,1,0,1,0,1,1,0,0,-5.110489333333335
0.007952558236665358,0.7263929646929274,-0.5817999999999999,-0.2564400000000001,0.7894412954367387,-0.4649589526534447,1,0,1,0,1,0,1,0,1,1,1,0,-5.108156000000002
0.15916309191988928,0.9504150749595113,-0.06396830296309454,0.9270365583362417,0.6344835726242287,-0.25105809145647745,1,0,1,0,1,0,1,1,0,1,0,1,-5.023706666666668
0.7348945593243441,1.2934,0.6724224150637692,-0.1442840852005901,0.5994575833166417,-0.010348628773159833,1,0,1,0,1,0,1,1,0,1,0,0,-4.995980000000006
-0.10248880182888581,1.1476106793340055,0.40544938716257467,-0.2564400000000001,0.5879771792519427,0.02098839269167344,1,0,1,0,1,0,1,0,1,1,1,0,-5.072221999999998
-0.02090580888555783,1.062393764161596,-0.5817999999999999,1.328791000000002,0.5278103762585198,-1.6315542712010251,1,0,1,0,1,0,1,1,0,1,1,0,-4.987703333333334
-0.16799202839587277,1.2934,-0.5817999999999999,0.5709701428578534,0.37101696526331246,-0.10772197070302349,1,0,1,0,1,0,1,1,1,1,0,0,-5.18418666666668
-0.007164463488698997,0.38791977557781754,0.6383624929238633,0.27386246842782,0.7693159489719413,-0.36596616818552297,1,0,1,0,1,0,1,1,0,1,0,0,-5.182446666666666
-0.05021779606670891,0.7258794985224774,0.05180367307906914,-0.2564400000000001,0.6653133018271357,-1.681377164160697,1,0,1,0,1,0,0,1,1,1,0,0,-5.1517859999999915
0.5448455765283449,0.26663179569667145,0.6908943457948494,0.5907126390744531,1.0311,-0.6447215705702747,1,0,1,0,1,0,1,1,1,1,1,0,-5.199500000000009
-0.2548291605543743,1.2934,-0.5817999999999999,-0.24482385985498487,0.6575970761857622,-1.2344894289889239,1,0,1,0,1,0,1,1,0,1,1,0,-5.055532
0.46984059125926825,1.2934,0.5569866979207134,0.5557262998509835,0.6775378662623516,-0.2674205027331789,1,0,1,0,1,0,1,1,1,1,1,0,-5.016331999999994
0.6100159311585819,1.2934,0.5908966874029719,0.10899769563215263,0.8143473979751801,-0.7419184070709947,1,0,1,0,1,0,0,0,1,1,1,0,-5.196599999999991
-0.2666946445924517,1.2934,0.5881839072833959,1.1514273086920395,0.6196210299742713,-0.2298318802387627,1,0,1,0,1,0,0,1,0,1,1,0,-5.187319999999997
-0.08010256472299153,1.2934,0.6942567401522355,-0.2564400000000001,0.6113845176587175,-1.8075164864756301,1,0,1,0,1,0,1,0,1,1,0,0,-5.117799999999998
0.6871699518520392,1.0944077669538352,-0.019718733733520406,-0.2564400000000001,0.6364857155549576,-1.3468349593742792,1,0,1,0,1,0,1,0,0,1,1,1,-5.080260000000008
0.6111164705328205,1.0251256202339403,-0.20106738556549328,1.328791000000002,0.7321085923022713,-0.595263935713132,1,0,1,0,1,0,1,0,1,1,1,0,-5.040800000000003
0.7026634150915008,1.2934,0.6123578828494003,0.7630547871858522,0.8114721982323128,-0.6492131259236038,1,0,1,0,1,0,1,0,0,1,1,1,-5.11122
0.20656808670770618,0.6831003652552933,-0.5269772456817785,1.328791000000002,0.658625119999055,-0.17038313767336083,1,0,1,0,1,0,1,1,0,1,1,1,-4.954336000000006
0.5598999600821527,0.9530507467452692,0.5442810921673685,-0.2564400000000001,0.8314331532783524,-0.757329077163618,1,0,1,0,1,0,1,1,0,1,1,0,-5.102720000000001
0.651394876717164,0.6718833390682568,0.15618045892995983,-0.2564400000000001,0.7876359040971428,-1.7614393027567887,1,0,1,0,1,0,1,0,1,1,1,0,-5.0844600000000035
-0.14642162121611352,0.676720978147787,0.08399768535745462,0.631410325714066,1.0311,-1.4922287033889643,1,0,1,0,1,0,1,1,0,1,0,1,-5.178836000000026
