Pos_1_logP,Pos_2_logP,Pos_3_logP,Pos_4_logP,Pos_5_logP,Pos_6_logP,Pos_1_chirality,Pos_2_chirality,Pos_3_chirality,Pos_4_chirality,Pos_5_chirality,Pos_6_chirality,Pos_1_is_NSub,Pos_2_is_NSub,Pos_3_is_NSub,Pos_4_is_NSub,Pos_5_is_NSub,Pos_6_is_NSub,y_pred
-0.045353954098196536,1.265190657193899,-0.23215321585570614,1.328791000000002,0.5727339646366157,0.028586895067055095,1,-1,1,-1,1,-1,1,0,1,1,0,1,-5.112175333333339
0.00393472243474704,0.8076460086804429,0.6549246234726263,1.328791000000002,0.6334525983115094,0.5420616881303236,1,-1,1,-1,1,-1,0,1,1,1,0,0,-5.179600000000001
0.1809060028119462,1.0302296820429258,-0.5570070273925796,1.2575704182178924,0.5734801435586765,1.1236098718875613,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.195260000000007
0.06644010671969808,0.8918023859033765,-0.41812215608416775,-0.08297786541400969,0.6044288422539098,0.3078540641644353,1,-1,1,-1,1,-1,1,0,0,1,0,0,-5.143930000000005
-0.4299200182808123,1.233073508646434,-0.1302832794268179,1.328791000000002,0.8245943386429722,1.0742141578891164,1,-1,1,-1,1,-1,1,1,0,1,1,0,-5.193514666666678
0.127878169589924,1.2934,-0.5817999999999999,0.8197730342682111,0.5530761721048217,0.7467254829882883,1,-1,1,-1,1,-1,1,0,1,1,0,1,-5.152716666666673
0.15582805679330777,1.0136498167241743,-0.07400106326933101,-0.2564400000000001,0.7643674847991528,-1.0696279999999991,1,-1,1,-1,1,-1,0,1,0,1,1,0,-5.180046666666663
-0.4142384468106332,1.2934,0.3019776891542261,0.3419871585598925,0.5720846662804235,0.9762923131934995,1,-1,1,-1,1,-1,1,1,0,1,0,0,-5.123945333333341
-0.31960780100404923,0.7850598090856491,-0.02584653821017874,1.328791000000002,0.7659376070313526,1.2517032139368096,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.155830000000006
0.073005332398762,0.9097546904254198,0.44040048980423097,0.046628923491563036,0.7582885420947423,-0.4381492585070108,1,-1,1,-1,1,-1,1,1,1,1,0,0,-5.116160000000004
0.42833438438312316,0.8355244361431263,0.7208001945585146,0.5696401967924202,-0.048608776987750686,-1.0696279999999991,1,-1,1,-1,1,-1,1,1,1,1,1,1,-5.167348000000019
0.8491169339033552,1.1827491523515952,0.26247343691300584,0.5232062012980475,0.6807361651578564,-0.6974757637023998,1,-1,1,-1,1,-1,1,0,0,1,1,1,-5.127259333333338
0.11264819501436833,0.7839204387696755,-0.5817999999999999,-0.2564400000000001,0.5605975034477293,0.017906453741183093,1,-1,1,-1,1,-1,1,0,1,1,1,0,-5.042270000000006
0.37487450610687667,1.2934,0.7603349967565173,1.328791000000002,0.7601345664888645,-0.6492432083116596,1,-1,1,-1,1,-1,1,1,1,1,1,1,-5.145332666666664
0.21195095187106391,0.4630795159451578,0.6856436227332825,0.16692111413321958,1.0311,1.302623466488435,1,-1,1,-1,1,-1,1,1,1,1,0,1,-5.176661333333342
0.607160555010503,0.23171704764001638,-0.4630882376881483,1.328791000000002,0.6382661780260958,0.5564676862525119,1,-1,1,-1,1,-1,1,1,1,1,1,1,-5.183830000000008
0.46111690236934394,0.4589120415577853,0.6235684657970821,1.328791000000002,0.5473897527873749,0.8852894790250001,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.062073333333333
-0.5817999999999999,0.6414676151641034,-0.4060830292931642,0.046770223941115976,0.5904500672999237,-0.06602360933331419,1,-1,1,-1,1,-1,1,1,0,1,1,1,-5.15417
0.3483708502075927,0.9531773495266722,-0.5817999999999999,0.8036621989718365,0.7101235697951461,0.8391506295092406,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.154978000000005
-0.15929793774944814,0.933003587036557,-0.5817999999999999,0.5317254206176456,0.5126693374545973,1.044266015425576,1,-1,1,-1,1,-1,1,1,1,1,1,0,-5.14466466666668
0.42760520534066776,0.2992589735703159,-0.5817999999999999,0.38166762300642215,0.6043622471291202,1.028924786040638,1,-1,1,-1,1,-1,1,1,0,1,1,0,-5.181748000000009
-0.36427867024053234,1.2934,-0.5817999999999999,1.328791000000002,0.5987990197862217,0.1894166970241931,1,-1,1,-1,1,-1,1,1,1,1,0,0,-5.051155333333338
-0.17541506758249306,0.7759563381088436,0.6692002499108011,-0.2564400000000001,0.5272864631086012,0.8180346955687969,1,-1,1,-1,1,-1,0,1,1,1,1,1,-5.1758500000000005
0.17422175794807232,0.5583654892144123,0.7434431255440976,1.328791000000002,1.0311,0.7475140067443073,1,-1,1,-1,1,-1,1,0,1,1,0,0,-5.1036000000000135
0.5548469045590091,1.2934,0.7828553615858063,1.328791000000002,0.707850045789811,-0.020668676881587772,1,-1,1,-1,1,-1,1,0,0,1,0,0,-5.094342
-0.12961480271357392,0.7236847303354021,0.7658775080244156,-0.23387939860393678,0.6105686848601339,-0.4027423954486526,1,-1,1,-1,1,-1,1,0,0,1,1,1,-5.019780000000006
-0.08177655128433217,0.5321153807298903,0.5867727187035691,-0.2564400000000001,0.8153419773812186,-0.025096492073496884,1,-1,1,-1,1,-1,1,1,0,1,1,0,-5.171196666666674
-0.43639470982111467,1.2934,-0.5817999999999999,-0.2564400000000001,0.5633858078906722,0.5206587764686103,1,-1,1,-1,1,-1,1,1,1,1,1,0,-4.998235333333337
-0.2714174683108933,0.8364255547663189,0.084855887947897,0.6106972525068707,0.6738578564050084,-1.0696279999999991,1,-1,1,-1,1,-1,1,0,0,1,0,0,-5.163406666666674
-0.3122168573276712,1.2934,0.06245029986077193,-0.2564400000000001,0.3471480942785964,0.9094819640303774,1,-1,1,-1,1,-1,1,1,1,1,1,0,-5.196328666666676
